Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,5.550000190734863,5.099999904632568,5.159999847412109,5.130000114440918,7831222,5.130000114440918
2019-01-03,5.190000057220459,5.050000190734863,5.099999904632568,5.190000057220459,6204185,5.190000057220459
2019-01-04,5.260000228881836,5.110000133514404,5.130000114440918,5.25,7010861,5.25
2019-01-07,5.300000190734863,5.239999771118164,5.130000114440918,5.269999980926514,5875191,5.269999980926514
2019-01-08,5.349999904632568,5.260000228881836,5.300000190734863,5.289999961853027,7211181,5.289999961853027
2019-01-09,5.389999866485596,5.28000020980835,5.309999942779541,5.320000171661377,8355541,5.320000171661377
2019-01-10,5.329999923706055,5.260000228881836,5.289999961853027,5.269999980926514,5806705,5.269999980926514
2019-01-11,5.329999923706055,5.269999980926514,5.309999942779541,5.309999942779541,4742653,5.309999942779541
2019-01-14,5.320000171661377,5.25,5.309999942779541,5.269999980926514,4445495,5.269999980926514
2019-01-15,5.329999923706055,5.269999980926514,5.289999961853027,5.329999923706055,4803335,5.329999923706055
2019-01-16,5.349999904632568,5.300000190734863,5.309999942779541,5.349999904632568,3779834,5.349999904632568
2019-01-17,5.360000133514404,5.28000020980835,5.349999904632568,5.28000020980835,5594603,5.28000020980835
2019-01-18,5.340000152587891,5.28000020980835,5.329999923706055,5.329999923706055,7779617,5.329999923706055
2019-01-21,5.360000133514404,5.300000190734863,5.309999942779541,5.309999942779541,5412741,5.309999942779541
2019-01-22,5.329999923706055,5.260000228881836,5.320000171661377,5.269999980926514,3754843,5.269999980926514
2019-01-23,5.300000190734863,5.210000038146973,5.28000020980835,5.21999979019165,4154945,5.21999979019165
2019-01-24,5.25,5.190000057220459,5.239999771118164,5.21999979019165,5810143,5.21999979019165
2019-01-25,5.480000019073486,5.210000038146973,5.230000019073486,5.349999904632568,15473788,5.349999904632568
2019-01-28,5.550000190734863,5.329999923706055,5.369999885559082,5.449999809265137,19384148,5.449999809265137
2019-01-29,5.570000171661377,5.360000133514404,5.420000076293945,5.429999828338623,14333431,5.429999828338623
2019-01-30,5.429999828338623,5.309999942779541,5.389999866485596,5.329999923706055,10753309,5.329999923706055
2019-01-31,5.389999866485596,5.289999961853027,5.329999923706055,5.369999885559082,16635425,5.369999885559082
2019-02-01,5.420000076293945,5.320000171661377,5.400000095367432,5.420000076293945,10107461,5.420000076293945
2019-02-11,5.46999979019165,5.380000114440918,5.389999866485596,5.460000038146973,9316745,5.460000038146973
2019-02-12,5.539999961853027,5.440000057220459,5.460000038146973,5.519999980926514,10472902,5.519999980926514
2019-02-13,5.599999904632568,5.510000228881836,5.550000190734863,5.590000152587891,14457979,5.590000152587891
2019-02-14,5.599999904632568,5.510000228881836,5.570000171661377,5.570000171661377,12280342,5.570000171661377
2019-02-15,5.590000152587891,5.510000228881836,5.570000171661377,5.519999980926514,7833493,5.519999980926514
